DATAFLOW,LAST UPDATE,freq,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1986-01-01,2300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1986-01-01,25.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1986-01-01,26290.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1986-01-01,6500.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1986-01-01,90.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1986-01-01,5865.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1986-01-01,2720.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1986-01-01,120.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1986-01-01,14600.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1986-01-01,5700.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1987-01-01,11405.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1987-01-01,5975.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1987-01-01,10680.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1987-01-01,57380.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1987-01-01,2725.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1987-01-01,6300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1987-01-01,2500.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1987-01-01,50.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1987-01-01,27670.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1987-01-01,50.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1987-01-01,5.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1987-01-01,11000.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1987-01-01,100.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1987-01-01,13460.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1987-01-01,8615.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1987-01-01,180.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1987-01-01,18115.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1987-01-01,5865.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1988-01-01,15790.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1988-01-01,4510.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1988-01-01,16220.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1988-01-01,103075.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1988-01-01,4670.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1988-01-01,9300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1988-01-01,4515.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1988-01-01,65.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1988-01-01,34350.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1988-01-01,50.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1988-01-01,1300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1988-01-01,45.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1988-01-01,7485.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1988-01-01,6600.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1988-01-01,250.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1988-01-01,19595.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1988-01-01,5740.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1989-01-01,21880.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1989-01-01,8190.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1989-01-01,24110.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1989-01-01,121320.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1989-01-01,4590.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1989-01-01,6500.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1989-01-01,4075.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1989-01-01,180.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1989-01-01,61420.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1989-01-01,40.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1989-01-01,10.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1989-01-01,2240.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1989-01-01,85.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1989-01-01,13900.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1989-01-01,4435.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1989-01-01,115.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1989-01-01,30335.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1989-01-01,16775.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1990-01-01,22790.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1990-01-01,12945.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1990-01-01,35565.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1990-01-01,193065.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1990-01-01,5290.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1990-01-01,4100.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1990-01-01,8645.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1990-01-01,2745.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1990-01-01,54815.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1990-01-01,60.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1990-01-01,5.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1990-01-01,3570.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1990-01-01,115.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1990-01-01,21210.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1990-01-01,3960.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1990-01-01,60.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1990-01-01,29420.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1990-01-01,38200.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1991-01-01,27305.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1991-01-01,15445.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1991-01-01,41240.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1991-01-01,256110.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1991-01-01,4610.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1991-01-01,2700.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1991-01-01,8140.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1991-01-01,2135.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1991-01-01,47380.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1991-01-01,30.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1991-01-01,20.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1991-01-01,24490.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1991-01-01,240.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1991-01-01,21615.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1991-01-01,4570.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1991-01-01,235.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1991-01-01,315.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1991-01-01,27350.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1991-01-01,73400.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1992-01-01,16240.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1992-01-01,17675.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1992-01-01,18935.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1992-01-01,438190.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1992-01-01,13885.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1992-01-01,2110.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1992-01-01,11710.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1992-01-01,3635.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1992-01-01,28870.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1992-01-01,40.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1992-01-01,15.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1992-01-01,2590.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1992-01-01,120.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1992-01-01,20345.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1992-01-01,5240.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1992-01-01,655.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1992-01-01,425.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1992-01-01,84020.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SK,1992-01-01,85.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1992-01-01,32300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1993-01-01,4745.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1993-01-01,26715.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1993-01-01,25235.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1993-01-01,322600.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1993-01-01,14345.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1993-01-01,860.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1993-01-01,12645.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1993-01-01,2025.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1993-01-01,27565.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1993-01-01,90.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IS,1993-01-01,0.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1993-01-01,1320.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1993-01-01,225.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1993-01-01,35400.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1993-01-01,12875.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1993-01-01,2090.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1993-01-01,930.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1993-01-01,37580.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SK,1993-01-01,95.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1993-01-01,28500.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1994-01-01,5080.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1994-01-01,14340.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1994-01-01,15930.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1994-01-01,127210.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1994-01-01,6650.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1994-01-01,1105.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1994-01-01,11990.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1994-01-01,835.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1994-01-01,25960.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1994-01-01,360.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1994-01-01,1830.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1994-01-01,260.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1994-01-01,52575.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1994-01-01,3380.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PL,1994-01-01,600.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1994-01-01,615.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1994-01-01,645.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1994-01-01,18640.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SI,1994-01-01,30.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SK,1994-01-01,140.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1994-01-01,32830.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1995-01-01,5920.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1995-01-01,11410.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1995-01-01,17160.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1995-01-01,127935.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1995-01-01,5105.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1995-01-01,1280.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1995-01-01,5680.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1995-01-01,850.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1995-01-01,20415.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1995-01-01,420.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1995-01-01,1760.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1995-01-01,280.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1995-01-01,29260.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1995-01-01,1460.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PL,1995-01-01,840.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1995-01-01,330.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1995-01-01,635.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1995-01-01,9045.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SI,1995-01-01,35.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SK,1995-01-01,360.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1995-01-01,43965.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1996-01-01,6990.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1996-01-01,12435.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1996-01-01,18415.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1996-01-01,117335.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1996-01-01,5895.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1996-01-01,1640.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1996-01-01,4730.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1996-01-01,710.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1996-01-01,17405.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,HU,1996-01-01,1260.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IE,1996-01-01,1180.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1996-01-01,680.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1996-01-01,265.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1996-01-01,22855.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1996-01-01,1780.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PL,1996-01-01,600.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1996-01-01,270.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,RO,1996-01-01,585.0,,
